3V3_LINK, 82.25, 27.94, 270.00, SOLDERJUMPERNC, SJ_2S
AP2112, 66.00, 54.00, 180.00, AP2112K-3.3TRG1, SOT95P282X130-5N
AVRDB, 47.75, 43.25, 180.00, AVR128DB48T-E_6LX, QFN40P600X600X90-49N
C1, 21.50, 67.50, 0.00, 10uF 6V, C0603
C10, 79.50, 11.75, 180.00, 10uF 6V, C0603
C11, 45.25, 37.00, 0.00, 1uF 6V, C0603
C12, 38.75, 45.50, 270.00, 1uF 6V, C0603
C13, 49.50, 50.50, 180.00, 1uF 6V, C0603
C14, 82.12, 52.81, 180.00, 1uF 6V, C0603
C15, 58.75, 54.25, 270.00, 1uF 6V, C0603
C16, 49.75, 32.00, 180.00, 22pF, C0603
C17, 53.00, 34.75, 270.00, 22pF, C0603
C18, 45.25, 34.50, 0.00, 100nF, C0603
C19, 41.50, 45.50, 270.00, 100nF, C0603
C2, 21.50, 54.50, 0.00, 10uF 6V, C0603
C20, 49.50, 48.25, 180.00, 100nF, C0603
C21, 61.75, 54.25, 270.00, 100nF, C0603
C22, 46.25, 27.50, 180.00, 100nF, C0603
C23, 79.50, 9.25, 180.00, 100nF, C0603
C24, 77.50, 52.25, 180.00, 100nF, C0603
C25, 77.53, 49.88, 180.00, 100nF, C0603
C26, 46.25, 30.00, 180.00, 100nF, C0603
C27, 50.50, 58.00, 90.00, 2.2uF, C0603
C28, 37.00, 61.50, 180.00, 2.2uF, C0603
C3, 21.50, 41.00, 0.00, 10uF 6V, C0603
C4, 21.50, 27.50, 0.00, 10uF 6V, C0603
C5, 21.50, 14.00, 0.00, 10uF 6V, C0603
C6, 21.50, 2.50, 0.00, 10uF 6V, C0603
C7, 70.25, 59.75, 90.00, 10uF 6V, C0603
C8, 70.25, 64.25, 90.00, 10uF 6V, C0603
C9, 70.25, 68.75, 90.00, 10uF 6V, C0603
CP2102, 72.29, 48.45, 180.00, CP210X_USB_UART, MLP28
D1, 25.50, 65.50, 270.00, ESD, SOD-523
D10, 79.62, 47.15, 180.00, ESD, SOD-523
D11, 79.61, 44.57, 0.00, ESD, SOD-523
D2, 25.50, 52.50, 270.00, ESD, SOD-523
D3, 25.25, 39.00, 270.00, ESD, SOD-523
D4, 25.00, 25.50, 270.00, ESD, SOD-523
D5, 25.50, 12.00, 270.00, ESD, SOD-523
D6, 29.25, 2.50, 90.00, ESD, SOD-523
D7, 59.00, 59.75, 180.00, ESD, SOD-523
D8, 59.00, 64.00, 180.00, ESD, SOD-523
D9, 59.00, 68.75, 180.00, ESD, SOD-523
FD1, 6.00, 1.50, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD2, 89.00, 1.50, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD3, 88.50, 82.50, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
GND_LINK, 73.00, 64.75, 270.00, SOLDERJUMPERNC, SJ_2S
J1, 14.05, 75.00, 0.00, SJ-3524-SMT-TR, SJ-3524-SMT-TR
J2, 14.05, 62.00, 0.00, SJ-3524-SMT-TR, SJ-3524-SMT-TR
J3, 14.05, 49.00, 0.00, SJ-3524-SMT-TR, SJ-3524-SMT-TR
J4, 14.05, 35.00, 0.00, SJ-3524-SMT-TR, SJ-3524-SMT-TR
J5, 14.05, 22.00, 0.00, SJ-3524-SMT-TR, SJ-3524-SMT-TR
J6, 14.05, 9.00, 0.00, SJ-3524-SMT-TR, SJ-3524-SMT-TR
LED, 55.31, 48.25, 180.00, Red 1.85V, CHIP-LED0805
MCP1501, 46.00, 61.50, 90.00, MCP1501-10E_SN, SOIC127P600X175-8N
R1, 11.68, 70.36, 0.00, 1M, R1206
R10, 25.50, 30.50, 0.00, 180k, R0603
R11, 25.50, 17.00, 0.00, 180k, R0603
R12, 25.50, 5.50, 0.00, 180k, R0603
R13, 67.25, 59.75, 270.00, 180k, R0603
R14, 67.25, 64.25, 270.00, 180k, R0603
R15, 67.25, 68.75, 270.00, 180k, R0603
R16, 21.50, 70.50, 180.00, 33k, R0603
R17, 21.50, 57.50, 180.00, 33k, R0603
R18, 21.50, 44.00, 180.00, 33k, R0603
R19, 21.50, 30.50, 180.00, 33k, R0603
R2, 11.68, 57.40, 0.00, 1M, R1206
R20, 21.50, 17.00, 180.00, 33k, R0603
R21, 21.50, 5.50, 180.00, 33k, R0603
R22, 64.25, 59.75, 270.00, 33k, R0603
R23, 64.25, 64.25, 90.00, 33k, R0603
R24, 64.25, 68.75, 90.00, 33k, R0603
R25, 25.50, 67.50, 0.00, 1k, R0603
R26, 25.50, 54.50, 0.00, 1k, R0603
R27, 25.50, 41.00, 180.00, 1k, R0603
R28, 25.50, 27.50, 180.00, 1k, R0603
R29, 25.50, 14.00, 180.00, 1k, R0603
R3, 11.68, 44.20, 0.00, 1M, R1206
R30, 25.50, 2.50, 180.00, 1k, R0603
R31, 61.25, 59.75, 90.00, 1k, R0603
R32, 61.25, 64.25, 90.00, 1k, R0603
R33, 61.25, 68.75, 90.00, 1k, R0603
R34, 52.94, 48.44, 270.00, 1k, R0603
R35, 43.00, 28.75, 90.00, 10k, R0603
R36, 41.00, 64.50, 0.00, 10k, R0603
R37, 41.00, 58.50, 0.00, 10k, R0603
R38, 37.00, 58.50, 0.00, 10k, R0603
R39, 72.50, 33.25, 180.00, 10k, R0603
R4, 11.68, 30.23, 0.00, 1M, R1206
R40, 70.50, 54.75, 90.00, 10k, R0603
R41, 79.50, 14.75, 0.00, 120k, R0603
R42, 41.00, 61.50, 0.00, 10R, R0603
R43, 76.50, 33.25, 0.00, 4K7, R0603
R5, 11.68, 17.27, 0.00, 1M, R1206
R6, 11.68, 4.32, 0.00, 1M, R1206
R7, 25.50, 70.50, 0.00, 180k, R0603
R8, 25.50, 57.50, 0.00, 180k, R0603
R9, 25.50, 44.00, 0.00, 180k, R0603
RFM69, 67.78, 9.00, 0.00, RFM12B/69CW, RFM12B/69CW
SL1, 82.30, 36.83, 0.00, JUMPER-SMT_2_NC_PASTE_NO-SILK, SMT-JUMPER_2_NC_PASTE_NO-SILK
SL2, 82.30, 39.12, 0.00, SOLDERJUMPERNC, SJ_2S
SL3, 82.30, 33.53, 0.00, JUMPER-SMT_2_NC_PASTE_NO-SILK, SMT-JUMPER_2_NC_PASTE_NO-SILK
SL4, 82.30, 31.24, 0.00, SOLDERJUMPERNC, SJ_2S
UART_3.3, 79.25, 17.00, 180.00, JUMPER-SMT_2_NC_PASTE_NO-SILK, SMT-JUMPER_2_NC_PASTE_NO-SILK
USB-C, 83.50, 46.00, 90.00, CSP-USC16-TR, USB-C
USB_RX, 67.00, 49.75, 180.00, JUMPER-SMT_2_NC_PASTE_NO-SILK, SMT-JUMPER_2_NC_PASTE_NO-SILK
USB_TX, 67.00, 47.25, 180.00, JUMPER-SMT_2_NC_PASTE_NO-SILK, SMT-JUMPER_2_NC_PASTE_NO-SILK
XTAL, 49.75, 34.75, 0.00, MCSJK-7U-12.00-12-10-80-B-10, MCSJK7U1200121080B10
